,html,position,location,company,jobreq
0,data/html_job_postings/1e92960a19ffdd34_fccid.html,quantitative analyst,"Boston, MA 02116",,"['Quantitative Analyst (State Street Bank and Trust Company; Boston, MA): The Quantitative Analyst will be part of State Street Treasury’s Treasury Quantitative Analytics (TQA) group. TQA is responsible for developing/implementing/monitoring advanced financial models that are used in company’s capital management, liquidity management, investment portfolio construction, and balance sheet optimization. The group is accountable for in-depth understanding, modeling, and representation of the complex interaction of global markets, customer behaviors, and regulatory oversights to create a view of risk/revenue opportunities and exposures to the investment committee, Board of Directors, senior management, and regulatory agencies. The Quantitative Analyst role is a key contributor to the realization of the GT’s mission of optimizing net interest income within the desired risk appetite position. Specific responsibilities include: apply advanced statistical techniques to analyze the characteristics of the bank’s liabilities (including deposit balance forecast, deposit attrition rate and deposit pricing), using time-series analysis, survival analysis, and non-parametric regressions; experience with machine learning techniques such as principal component analysis, regression trees, and non-linear models; conduct in-depth quantitative analysis on how macroeconomic changes impact the bank’s balance sheet positions and understand the interest rate risks of the bank in different economic cycles; apply solid knowledge of CCAR, DFAST, and Basel regulations and developed stress testing models to quantify capital and liquidity risks; create and maintain model documentation that meets corporate model risk standards including model development and implementation papers; ensure proper ongoing monitoring of model performance including back-testing and performance reviews; and work closely with key business partners and senior management to understand the business needs and conditions and determine the analytical tools and data needed; serve as the subject matter experts on product analysis and modeling with regulatory agencies and internal oversight functions.\n', '', 'Minimum requirements: Master’s degree in Econometrics, Mathematics, Statistics, or a related quantitative field plus 2 years of quantitative modeling experience including at least one year in a large, complex financial institution with a broad exposure to all lines of businesses of a custodial bank.\n', '', 'Must have: demonstrated experience modeling complex financial concepts using non-linear, error correction, survival, and time-series models, Monte Carlo simulations and unsupervised and supervised machine learning, and other advanced quantitative techniques; proven knowledge of liquidity and capital stress testing, CCAR, and deposit modeling experience required; proven solid ability working with large and complex data sets including relational databases and complex queries using both SQL Server and My SQL; demonstrated proficiency in R/SAS/Matlab coding and working knowledge of Excel VBA, Eviews, python, and Cloudera Data Science Workbench; deep and broad understanding of all kinds of financial instruments like loans and deposits, as well as derivatives like options and futures; CFA candidates desired; demonstrated strong written and verbal communication skills and ability to present material to various audiences including upper management and regulators; and proven ability to take initiative, adapt and learn quickly, and be a self-starter. (Unless otherwise indicated, State Street is seeking the ability in the skills listed above with no specific amount of experience required. All experience can be gained concurrently).\n', '', 'A pply online at statestreet.com/careers . State Street Job ID: R-620670 . An EOE.\n', '', '“#LI-DNI”']"
1,data/html_job_postings/3157fcef3ee474da_fccid.html,data scientist,"Mountain View, CA",,"['\nHelp senior members of the team to explore, develop, productionize and optimize machine learning algorithms and pipelines.', '\nUse Hadoop, Spark and Amazon Athena on a daily basis to explore our petabytes of data.', '\nDive deep into our rich set of location data, derive insights and build product prototypes.', '\nCollaborate with peer data scientists, engineers and product managers closely.', '\nMaster degree in Computer Science, Statistics, Mathematics, Engineering; PhD is a plus.', '\nHas experience in Statistics, Machine Learning.', '\nFluency in Python.', '\nSignificant experience with SQL; some relational databases or NoSQL data stores.', '\nFamiliarity with open source machine learning libraries such as scikit-learn and Spark MLlib.', '\nHas experience in Amazon Web Services is a plus.', '\nExcellent communication skills.']"
2,data/html_job_postings/b423ca22a6e2c10f_fccid.html,data scientist,"Seattle, WA",,"['A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience', 'Previous experience in a research science, ML, or data scientist role and a track record of strong statistical analysis and building ML or DL models', 'Strong background and experience using Python and/or R', 'Experience using ML libraries, such as scikit-learn, caret, mlr, mllib', 'Experienced in using multiple statistical/data science methodologies to solve complex business problems.', 'Experienced in handling large data sets using SQL and databases in a business environment.', 'Excellent verbal and written communication. Strong ability to interact, communicate, present, and influence within multiple levels of the organization', 'Strong troubleshooting and problem solving skills.', 'Collaborate with HR, business leaders, and peer researchers on innovative hypothesis-driven research projects and a corresponding analytics roadmap to inform business actions.', 'Collaborate with other Devices data scientists and research scientists to build measurement plans/scalable research studies for assessing the impact of treatment/interventions on critical business KPI’s and people related metrics.', 'Design, develop and evaluate models for prediction and forecasting purposes', 'Establish scalable, efficient, automated, and easily repeated processes for large scale data analyses for the broader Amazon Devices org.', 'Integrate statistical analysis and prediction into current reporting dashboards in R Shiny', 'Provide ad-hoc or special project statistical analysis to HR and business leaders that enable them to achieve their goals, drive decision making and create new strategies where necessary', 'Gather, manage, and evaluate large datasets from multiple sources', 'Build and maintain strong partnerships across HR and the business', ""Master's degree in Statistics, Applied Math, Operations Research, Economics, or a related quantitative field with at least 2 years of working experience as a Data or Research Scientist."", 'Experienced in writing academic-styled papers for presenting both the methodologies used and results for data science projects.']"
3,data/html_job_postings/ea487254a487beb5_fccid.html,senior natural language processing (nlp) engineer,"Boston, MA",,"['Join a small team creating a proprietary NLU stack from the ground up!', 'Be granted freedom, authority, and responsibility to make our customers successful', 'Work with a wide range of systems, processes and technologies and own problems from end-to-end', 'Uphold our Drift Leadership Principles and be the teammate you want to work with', 'Collaborate across the organization with other teams within engineering, sales, operations, and customer success', 'Have experience building statistical models to understand language at the level of words, sentences, conversations, and/or industries', 'Are exceptional in a few areas (ex:Scikit-Learn, spaCy, PyTorch); We like pointy people', 'Are excited about collaborating with conversation Designers, Front End Developers, and Data Engineers', 'Can stitch together many different services and processes, even if you have not worked with them before', 'Uphold quality standards in engineering, security, and design', '(BONUS) Have experience with pre trained language models like ELMo, BERT, GPT-2', 'Building an active learning framework for labeling of chat data at scale', 'Researching methods for learning an ontology of domain specific terminology to power NER', 'Designing diagnostic systems to continuously monitor the performance of classifiers', 'Developing applications that crawl millions of lines of chat text to discover patterns and suggest new content for bots', 'Chris Ward, NLP Data Scientist, joined July 2016. Chris develops our NLU stack, including our intent classifier.', 'Jeff Orkin, Head of Data Science, joined May 2015. Jeff designed our unique event-based dialog manager, and works closely with our ML engineers and Data Scientists.', 'Sarah Laeuchli, Product Manager, joined August 2017. Sarah & the team own our AI bot platform and built the data-driven authoring process we use today.']"
5,data/html_job_postings/a559b6630c13783d_fccid.html,junior data scientist,"College Park, MD 20740",,"['Degree: Bachelor’s degree in business analytics, data science, statistics, engineering or related field.', 'Data Science: 2+ years of experience with R and SQL.', 'Data Management: 2+ years of experience with R, SQL or MS Excel.', 'Business Intelligence: 2+ years of experience with ggplot2, D3, Tableau, JMP or PowerBI.', 'Business Acumen: Strong MS Office (Word/PowerPoint) skills and ability to concisely communicate approach and results to technical and non-technical audiences (oral/written).', 'Degree: Master’s Degree in business analytics, data science, operations research, statistics, engineering or related field.', '4+ years of experience with R, SQL and Tableau.', 'Transportation knowledge is a plus.', 'Resume', 'Cover Letter', 'List of References (no emails sent from system)']"
6,data/html_job_postings/f579e807b5804620_fccid.html,data scientist,"New York, NY",,"['\nLanguages: Python, PySpark, SQL', '\nData Tools: Spark, AWS RedShift, AWS Athena, pandas, numpy, scipy, parquet', '\nModeling Tools: SparkML, scikit-learn, Tensorflow, Tensorflow-Serving, Keras (Tensorflow and Theano backend)', '\nAlgorithms: Classifications, Regressions, Neural Networks, Time series, Graphs', '\nVisualization: Tableau or similar', '\nInfrastructure: AWS (including S3, EMR, EC2, Lambda)', 'Understand business decisions that need to be supported by data e.g. risk of readmission to hospital', '\nIdentify relevant internal or external data sources for various business needs', '\nResearch the state of a problem and existing solutions then quickly summarize research', '\nHelp identify new business opportunities and value propositions from existing data', '\nUtilize raw or aggregated data to build predictive models in SPARK, sql, or Python', '\nUnderstand quality of models and impact on business problems', '\nCommunicate summaries of analyses and predictive modeling efforts to product and business teams', '\nCommunicate insights to stakeholders in data engineering, product and clinical teams.', '\nBecome expert on projects to help strategize plans of attack in terms of technology and team education.', '\nEnsure that all security procedures within their area of responsibility are carried out to achieve compliance with security policies and standards.', '\nLeading multiple initiatives across both existing and innovative work', '\nProvide continuous mentoring to junior resources', '4+ year’s professional experience as a data scientist or machine learning engineer', '\n4+ year’s professional experience working in quantitative computational role', '\n2+ year’s professional experience working with big data and relational databases', '\nVery strong knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining techniques (regression, decision trees, clustering etc.), as well as dimensionality reduction techniques', '\nStrong hands-on modeling experience in a business environment with a goal of productionalizing models.', '\nStrong experience using machine learning and deep learning packages', '\nStrong experience with data manipulation, analysis and visualization', '\nProven track record of fully understanding the scope, commitment to quality, and end-to-end ownership to meet upon agreed timelines.', '\nQuick learner that can manage multiple projects at the same time successfully', '\nDeveloped and designed real-time prediction software', '\nStrong experience mentoring junior colleagues', '\nExcellent written and verbal communication skills', '\nAdvanced degree in physics, applied mathematics, statistics or related field is preferred', '\nHealthcare industry experience is a plus']"
7,data/html_job_postings/63031f6bc07bda88_fccid.html,business analyst,"San Francisco, CA 94104",Medical Claims Data Projects,"['Highly developed analytical skills', '\nMastery of basic math', '\nKnowledge of business operations practices', '\nWorking knowledge of Microsoft Office Suite programs, especially Excel and PowerPoint', '\nAdept at research practices', '\nConsults with functional unit management and personnel to identify, define and document business needs and objectives, current operational procedures, problems and input/output requirements.', '\n Proactively communicates and collaborates with external and internal customers to analyze information needs and functional requirements and deliver the following artifacts as needed: Functional requirements, Business Requirements Document, Client and Client Service Data Requirements.', '\nTracks and fully documents changes for functional and business specifications; writes detailed universally understood procedures for permanent records and use in training.', '\nIdentifies opportunities for improving business processes through information systems and/or non-system driver changes; assists in the preparation of proposals to develop new systems and/or operational changes.', '\nAble to locate collect pertinent information need to perform data analysis', '\nResponsible for pulling data and to review the information and use it to draw conclusions that may help them determine ways to change procedures or improve business operations.', '\nCreate detailed reports to be presented to management', '\nCreate visual depictions of data, graphs and charts and present the data', '\nCreate presentations using software such as, Microsoft PowerPoint\n', 'Able to review surveys and obtain documentation', '\nMust be able to determine what information is needed and where the best source for that information can be found.', '\nSuccessfully engage in multiple initiatives simultaneously.', '\n Perform other related duties and special projects as assigned.', '\n Support the mission, vision and values of the company and the team through role modeling and encouraging desired behaviors.', ""\nBachelor's degree in a related field, or equivalent combination of education and work experience."", '\n Minimum of 1 year experience in a medical claim processing environment for medical, dental and/or hospital claims; working knowledge of benefits claims adjudication principles and procedures, medical and/or dental terminology and ICD-9 and CPT-4 codes.', '\nKnowledgeable on data analysis practices and be comfortable with statistics and mathematical calculations', '\nPossess a strong work ethic and be a team player\n', 'Highly developed sense of integrity and commitment to customer satisfaction.', '\nAbility to communicate clearly and professionally, both verbally and in writing.', '\nAbility to function independently within established guidelines.', '\nSolid organization skills with strong attention to detail', '\nStrong decision making, research and analytical abilities.', '\nProficient using Microsoft Office, including MS Word and Excel.', '\nFamiliarity of the TPA business and Taft-Hartley Welfare Funds preferred.', '\nTypical office\n', 'Typically sitting at a desk or table, working on a computer in excess of 85%.', '\nTravel may be required', '\nWe focus on relationships', '\nWe take risks thoughtfully', '\nEthical behavior', '\nPerformance and accountability', '\nWe strive to win, but not at all costs', 'Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee of this job. Duties, responsibilities and activities may change at any time with or without notice.']"
8,data/html_job_postings/13c9ffc0bcb07c8d_fccid.html,(entry-level) data scientist,"Chicago, IL",,"['\nBe the go-to person for Data ingest and storage across Cloud, Hadoop and Network storage devices', '\nSupport Data Scientists with ETL, Data Exploration, Feature Engineering, Model development and Model Deployment when required', '\nCollaborate with stakeholders from clinical, administrative, operations, and actuarial teams to identify Data Sources, Data feeds and external third-party data for advanced analytics opportunities to add value to Evolent’s business.', '\nBuild scalable data platforms across clouds and/or on premise as an alternate source of truth (ASOT) mirroring single source of truth (SSOT) data sources like RDBMS, Data Warehouse, SAS GRID, NoSQL and other external data to support Data Scientists and Machine Learning Engineers.', '\nMake Data available for Data Exploration, Data Science and Machine Learning purpose', '\nSolution right storage platforms from object storage on AWS/AZURE/GCP, Hadoop Data lakes to on premise network drives with proper file formats, compression, partitions, backup and archive solutions', '\nCreate data catalog for data discovery and create reports for Data governance and ETL jobs', '\nIngest data batch and real time from Data warehouse, Data base, SAS data grid, MongoDB, NoSQL systems, SFTP and real time services on to Data Lake, S3 objects etc.', '\nSchedule jobs to ensure 24/7 availability, failover and graceful recovery for Data and ETL jobs', '\nBachelor’s degree from STEM field.', '\n1-3 years of professional experience as a Data Engineer on any Cloud and/or on-premise Hadoop systems building Data lakes', '\nStrong technical abilities with python as a programming/scripting language, SQL for querying database/NoSQL, shell scripting on unix/linux environment', '\nBasic understanding of security including Kerberos, public/private key, encryption/decryption, MFA', '\nFoundational understanding of cloud and distributed platforms', '\nPython ETL frameworks\\Pyspark (we also welcome java\\scala)', '\nData as a service(Daas) REST API/JSON/XML', '\nKnowledge\\Proficiency with Dockers', '\nExperience working with various file formats and compression techniques like json, xml, parquet, pickle, gz, snappy etc. for efficient storage and compute', '\nThe ability to work with unstructured data', '\nStrong communication skills, including communicating with remote team members, communicating with stakeholders from other Evolent departments to fully evaluate project requirements and context, and communicating project results, findings, and applicability.', '\nAbility to work independently with little technical guidance day-to-day, in a fast-paced environment.', '\nProficiency with version control systems like git', '\nMaster’s degree from STEM Field', '\nAdditional object & functional oriented programming languages like C++/Java/Scala', '\nMathematical programming languages like SAS, SPSS, R, Julia, Matlab', '\nProficiency/coursework in most mathematical analysis methods, statistical analyses, and/or machine learning (such as neural networks, random forests, gradient boosting, etc),', '\nExperience in visualization tools such as Python’s bokeh, matplotlib, RShiny,, nodejs , D3', '\nExperience with BI tools like Tableau, micro strategy, Qlikview', '\nKnowledge/experience with Kubernetes and containers', '\nJob Scheduling and ETL frameworks like airflow, Luigi etc.', '\nAWS/AZURE/GCP/Hadoop certifications', '\nContributions to opensource', '\nWorking with image data will be a plus', '\nExperience in healthcare industry.']"
9,data/html_job_postings/b672827e595ad0f4_fccid.html,"data scientist, analytics","Seattle, WA 98101",,"['\nApply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products', '\nPartner with Product and Engineering teams to solve problems and identify trends and opportunities', '\nInform, influence, support, and execute our product decisions and product launches', '\nThe Data Scientist Analytics role has work across the following four areas:', '\nProduct Operations\nForecasting and setting product team goals\nDesigning and evaluating experiments\nMonitoring key product metrics, understanding root causes of changes in metrics\nBuilding and analyzing dashboards and reports\nBuilding key data sets to empower operational and exploratory analysis\nEvaluating and defining metrics', '\nForecasting and setting product team goals', '\nDesigning and evaluating experiments', '\nMonitoring key product metrics, understanding root causes of changes in metrics', '\nBuilding and analyzing dashboards and reports', '\nBuilding key data sets to empower operational and exploratory analysis', '\nEvaluating and defining metrics', '\nExploratory Analysis\nProposing what to build in the next roadmap\nUnderstanding ecosystems, user behaviors, and long-term trends\nIdentifying new levers to help move key metrics\nBuilding models of user behaviors for analysis or to power production systems', '\nProposing what to build in the next roadmap', '\nUnderstanding ecosystems, user behaviors, and long-term trends', '\nIdentifying new levers to help move key metrics', '\nBuilding models of user behaviors for analysis or to power production systems', '\nProduct Leadership\nInfluencing product teams through presentation of data-based recommendations\nCommunicating state of business, experiment results, etc. to product teams\nSpreading best practices to analytics and product teams', '\nInfluencing product teams through presentation of data-based recommendations', '\nCommunicating state of business, experiment results, etc. to product teams', '\nSpreading best practices to analytics and product teams', '\nData Infrastructure\nWorking in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica\nAutomating analyses and authoring pipelines via SQL and python based ETL framework', '\nWorking in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica', '\nAutomating analyses and authoring pipelines via SQL and python based ETL framework', '\n2+ years experience doing quantitative analysis', '\nBA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field', '\nExperience in SQL or other programming languages', '\nDevelopment experience in any scripting language (PHP, Python, Perl, etc.)', '\nExperience communicating the results of analyses with product and leadership teams to influence the strategy of the product', '\nKnowledge of statistics (e.g., hypothesis testing, regressions)', '\nExperience manipulating data sets through statistical software (ex. R, SAS) or other methods', '\nAdvanced degrees', '\nExperience with distributed computing (Hive/Hadoop)']"
10,data/html_job_postings/fa5cc99f9075aff3_fccid.html,data scientist intern,"San Diego, CA 92121",Pricing Strategy and Analytics,"['\nApply statistical methods to analyze the effect of pricing and sales decisions on business performance', '\nExperience building and interpreting machine learning models on real business data', '\nVisualize and interpret the results of analyses, and create strategy recommendations', '\nPresent the results and the corresponding recommendations to the relevant stakeholders, including senior leadership', '\nDevelop and implement frameworks and processes for systematic data analysis', '\nImmerse yourself in very large data sets and complex problems', '\nDevelop tools to ingest, merge, and clean datasets', '\nInterest in pricing, economics, and/or consumer behavior', '\nScientific thinking and ability to design and critically analyze quantitative research', '\nAbility to think creatively about research problems and invent original solutions to modelling challenges', '\nCoursework and/or hands-on experience in quantitative research, with diverse academic backgrounds (Economics, Social Sciences, Life Sciences, etc.) considered', '\nProficiency with R or Python is required', '\nAbility to build and interpret linear regression models, with machine learning experience a plus', '\nStrong analytical skills, with a high level of attention to detail', '\nProficiency in Microsoft Excel and Microsoft PowerPoint', '\nExcellent written and verbal communication skills', '\nExperience working with large data sets', '\nExperience in data engineering', '\nExposure to digital marketing', '\nExperience working in or collaborating with industry', '\nExperience creating data visualizations', '\nAbility to build dashboards and other tools using front-end development skills', '\nExperience in software development', '\nCollaborates with peers, junior engineers, data scientists and project team', ""\nCurrent Bachelor's, Master's or PHD candidate, with advanced degree students preferred""]"
