html,position,location,company,jobreq,cosine_similarity_to_resume
data/html_job_postings/4b13ffbd35f56cf5_fccid.html,machine learning / data scientist internship (summer 2020),"San Diego, CA",San Diego,"How to build models at scale using vast amounts of structured and unstructured heterogeneous types of data. Ensuring high accuracy based on industry’s stringent requirements around precision or recall and with minimum Type I and Type II errors. Generating predictions for millions of rows of data with high response time Dealing with high data diversity (vast amounts of data will need to be classified and will have multi labelled outcomes) Dealing with very high dimensionality (expect to work on large matrix computations, variable transformation & feature engineering and selection using PCA and other novel ML techniques) Dealing with noisy data (build models robust enough for unclassified and/or mislabeled data) Pursing a Bachelor's or Master's degree in Mathematics, Computer Science, Data Science or related degree GPA of 3.0 or higher Graduating in December of 2020 or June of 2021 Good Understanding of machine learning theory, Artificial Intelligence [Deep Learning] and algorithms, such as CNNs, k-NN, Naive Bayes, SVM, Decision Forests, Ensembles, Decisions Trees Good coding skills and knowledge around using scientific, distributed programming and scripting languages like R, Python, Pyspark and/or Java. Good foundation in statistics and machine learning algorithms Familiarity of modern statistical learning methods & machine learning Frameworks like H2O, Spark & Hadoop Knowledge on how to build prototypes and be able to understand the existing code base. A principled approach to solving algorithmic problems with a focus on what will make users happy A pragmatic approach to rapidly evaluating new algorithmic ideas A very high attention to detail and ability to thoroughly think through problems Excellent written and oral communication skills on both technical and non-technical topicsAbility to commit 40 hours per week for 10-12 weeks during the 2020 summer.",0.1360866524767865
data/html_job_postings/17a320fb30c7c7ab_fccid.html,machine learning postdoctoral fellow,"San Francisco Bay Area, CA",,"Design and develop distributed machine learning approaches that are applicable to systems (network/compute/facilities) environments. Develop and use software libraries to process large data sets that are publicly and privately available. Research and implement machine and reinforcement learning models that connect fundamental engineering properties to efficient designs. Develop new tools for innovative network and compute solutions that leverage machine learning as part of their design. Apply distributed machine learning techniques to related fields. Publish research findings in conferences and journals. Ph.D. in related field (Computer Science, Control engineering, Any Engineering Discipline (Electronic and Controls, Mathematics). Strong analytical background in machine learning algorithms, e.g., experience with deep learning analysis and programming libraries. Strong mathematical foundation. Extremely high aptitude and desire for programming and building software infrastructure; object-oriented programming, machine learning libraries. Prior ability demonstrated (e.g. Github profile) to contribute to a large software framework. Demonstrate some history with working with either of the machine learning libraries such as TensorFlow, PyTorch, Keras, Scikit-learn, etc. Preferred language of experience is Python but flexible to be extended to Matlab or other machine learning coding experience. Prior work in the field of deep learning research is a plus. Prior experience in systems automation tools is desirable. Prior experience of deploying software architectures on HPC and understanding their use is a plus. Any experience with processing streaming large data sets such as over cloud infrastructures and demonstration using software tools is desirable. This is a full-time, 2 year, postdoctoral appointment with the possibility of renewal based upon satisfactory job performance, continuing availability of funds and ongoing operational needs. You must have less than 3 years paid postdoctoral experience. Salary for Postdoctoral positions depends on years of experience post-degree. This position is represented by a union for collective bargaining purposes. Salary will be predetermined based on postdoctoral step rates. This position may be subject to a background check. Any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. Having a conviction history will not automatically disqualify an applicant from being considered for employment. Work will be primarily performed at Lawrence Berkeley National Lab, 1 Cyclotron Road, Berkeley, CA.",0.0943652451697407
data/html_job_postings/72435f49f9f550ef_fccid.html,data analyst,"San Francisco, CA",,"Interpret data, analyze results and provide ongoing reports Use data to create models that depict trends in the customer base and the consumer population as a whole Own and maintain all dashboards, ongoing reporting reports, and ad hoc requests from the organization Identify and recommend new ways to save money by streamlining business processes Work with management to prioritize business and information needs Focus on data quality and improving our data systems Bachelors of Science in Mathematics or related field or Business background 3+ years experience as a data analyst, business data analyst or data scientist Experience using data to drive business outcomes Adept at queries, report writing and presenting findings. Must have experience using SQL to analyze and transform data Python/Pandas/NumPy, R, Excel/GoogleSheet or other statistical software packages a plus Experience in data visualization Adept at queries, report writing and presenting findings ETL and data pipelining Javascript or any other programming language Modeling, A/B test, forecasting, data mining and inference",0.09028444086566326
data/html_job_postings/ef7046b5961f249e_fccid.html,data science summer institute student intern,"Livermore, CA 94550",,"Students will work with scientists, engineers and technical staff members to provide technical and/or research support to projects in the areas of computational science, numerical methods, mathematics, or other related fields. Under close supervision, participate in research in assigned area. Gather and analyze data and information in support of scientific research. Participate in research planning and evaluation discussion. Attend relevant on-site seminars (at least one per week). A minimum of one seminar or poster will be presented on the assignment. Perform other duties as assigned. Under limited direction and supervision, conduct research in assigned area. Perform technical assignments of a basic degree of complexity and provide advanced technical support to scientists in scientific research and development projects. Present work through presentations and/or poster sessions. Must be a continuing college or university student in good standing at an accredited institution pursuing an undergraduate degree in Computer Science, Statistics, Mathematics, Machine Learning, Computer Vision or other related fields. Effective programming skills in a high-level language such as R, Python or or Matlab. Distributed/parallel computing and experience with C/C++ and/or Java a plus. Ability to apply basic principles of data sciences (machine learning, statistics, computer science, mathematics) to solve technical problems. Ability to present and communicate concepts and ideas. Ability to work in a team environment. Demonstrated effective communication skills. Desire to understand and explore why certain algorithms are well-suited to specific applications. Desire to participate in both individual and team efforts including the LLNL DSSI Challenge Problems. Desire to improve skills in public presentation of scientific results by giving presentations and participating in the LLNL student poster competition. Eagerness to obtain an understanding of new application areas. Demonstrated exposure through coursework or relevant experience to some of the following topics: Statistical modeling and data analysis Bayesian and frequentist statistical frameworks Inverse problems, uncertainty quantification Machine learning Computer vision Multimedia signal and video processing Combinatorics and algorithms Graph modeling and social network analysis Modeling and Simulation Must be a continuing college or university student in good standing at an accredited institution pursuing a graduate degree or a recent Bachelors or Masters graduate within one year. Demonstrated academic achievement in scientific curriculum. Experience applying advanced computational science and/or mathematical principles to solve technical problems. GPA of 3.0 or above.",0.08963527170904087
data/html_job_postings/7ba056b7c3fbf8e7_fccid.html,data scientist,"New York, NY 10011",,"Conduct research on some of the world’s most interesting alternative datasets Plan, develop, and apply cutting-edge machine learning systems and statistical modeling to extract insight from vast amounts of data at scale Write production-ready code to analyze, structure, and make accurate and timely predictions Design systems to monitor the results of models in productions, discover and address anomalies, and ensure the robustness and reliability of these models Lead projects from start to finish, collaborating with 7Park’s senior management, product managers, engineers, external data partners, and clients At least 5 years of relevant professional experience and/or a Masters or PhD in computer science, mathematics, statistics, linguistics, physics, computational finance, or similar quantitative field. Strong knowledge of machine learning, computer science, mathematics, and statistics. Strong programming skills in Python, R, and/or Scala. Experience with NumPy, SciPy, Pandas, Scikit-Learn, TensorFlow, and Keras. PyTorch is also acceptable. Experience with building distributed machine learning systems using Apache Spark and a working knowledge of MLlib. Experience with several of the following concepts: decision trees, random forests, and gradient boosting; linear regression; logistic regression; linear and non-linear dimensionality reduction using PCA, kernel methods, and dictionary learning; clustering with K-means, hierarchical clustering, and DBSCAN; autoencoders; generative models; and sequential data modeling. Publications in communities such as NIPS, ICML, or related. GitHub projects demonstrating your creative drive. Kaggle wins demonstrating your competitive drive. Experience running or working at data-centric startups. Experience with knowledge graphs. Working knowledge of GraphX and Spark Streaming.",0.08875468118401465
data/html_job_postings/242bbe38bd12e721_fccid.html,data/nlp scientist,"Bellevue, WA",,"(Required) Master or higher degree in computer science, statistics or mathematics with focus on machine learning and natural language processing; data science experience in industry is preferred Strong knowledge in machine learning and statistics (classification, regression, recommendation, clustering, boosting, graphical models, etc.) Familiar with machine learning and analytics libraries (Scikit-learn, MLlib, etc.) Experience with deep learning frameworks (Tensorflow, CNTK, Mxnet, Keras, etc.) Experience with data manipulation and analysis tools (Pandas, Pig, Hive, Spark, etc.) Experience in applying and implementing NLP algorithms, especially in the following areas: information extraction, topic modelling, semantics analysis, question answering Strong programming skills in Python, SQL, R and at least one object oriented programming language (Java, Scala, C++, etc.) Knowledge of visualization tools (D3.js, Tableau, etc.) Great communication skills, curiosity about data, and passion about the business",0.08869823290643068
data/html_job_postings/88088691f91338fc_fccid.html,senior data scientist,"Palo Alto, CA",,"Lead model development, providing methodology, strategy, ideas, architect, and solutions for real-word, industrial-scale and mission-critical business operations Develop AI/ML models for business applications Build and integrate models into a full-functioning AI business software Interact with business clients, understand business requirements, propose AI software solutions to meet the business requirements, deliver and present AI software to clients Understand the data set used for the modeling, prepare and preprocess data sets, train and test models and perform model feature engineering Document data dictionary, data understanding, modeling strategy and approaches, and build company’s knowledge base of data and models Communicate effectively with team members, management, and clients Proven ability to work with large structured and unstructured datasets Demonstrable, hands-on experience in developing advanced analytics algorithms/models, including time series forecasting, machine learning and deep learning, image processing, natural language processing, and speech recognition Excellent hands-on code development skills in Python Good Knowledge of Machine Learning frameworks and packages, including Keras, TensorFlow, MXnet, Scikit-Learn and cloud technology (Amazon, Azure, etc.) Experiences in Machine Learning, Deep Learning, Computer Vision, and Natural Language Processing PhD degree in Mathematics, Statistics, Computer Science, or related disciplines At least 3 years of Artificial Intelligence At least 3 years of Machine Learning Background in Property and Casulity Insurance a big plus! You must be able to work out of our Houston office Parallel and distributed processing experience is a plus Expertise in data Extraction Transformation and Loading (ETL) is a strong plus (Spark, Hadoop, SQL) in big data environments. Domain knowledge in financial and insurance industries is a big plus",0.08788203764483794
data/html_job_postings/7b62436d86347e82_fccid.html,natural language processing data scientist- audit,"McLean, VA",,"Master's Degree in Statistics, Computer Science, Engineering, Mathematics, or a related field At least 2 years of experience in natural language processing or computational linguistics At least 2 years of experience in machine learning and web scraping At least 2 years of experience programming in Python, JavaScript or Scala At least 2 years experience working with cloud platform like AWS or Azure Ph.D. in artificial intelligence, machine learning, natural language processing, or computational linguistics 2+ years of experience with agile software development 2+ years of experience with GitHub 2+ years of experience with Kibana or D3.js 4+ years of experience performing research in syntactic parsing, semantic parsing, natural language generation, topic modeling, fuzzy matching, textual entailment, word embedding, cluster analysis, principal component analysis, and time series analysis 4+ years of experience programming in Python in an integrated development environment Hold AWS Certificates",0.08462343997628585
data/html_job_postings/551b276663e03b55_fccid.html,data scientist,"Bellevue, WA",,"Requisition ID: 233772Work Area: Software-ResearchExpected Travel: 0%Career Status: ProfessionalEmployment Type: Regular Full TimeCareer Level: T2 Original Posting Date: 10/15/2019  COMPANY DESCRIPTION  As market leader in enterprise application software, SAP helps companies of all sizes and industries innovate through simplification. From the back office to the boardroom, warehouse to storefront, on premise to cloud, desktop to mobile device – SAP empowers people and organizations to work together more efficiently and use business insight more effectively to stay ahead of the competition. SAP applications and services enable customers to operate profitably, adapt continuously, and grow sustainably.  Location: Bellevue, WA  Purpose and Objective:  Concur Technologies, Inc. seeks a Data Scientist at our Bellevue, WA location to build and deploy Machine Learning solutions.  Expectations and Tasks:  Extract and transform data from Large databases to a form that can be used by machine learning algorithms. Research solutions to complex problems by our and other teams within the company. Develop micro services using Python, Flask, Tornado, Docker, Kubernetes, Device42 and other technologies to provide ML solutions to other teams. Education and Qualifications/Skills and Competencies:  Master's degree in Computer Science, Mathematics, Statistics, Bioengineering, Physics, or related field and 0 years of experience required.  Work Experience:  Experience or coursework must involve: development and deployment of Machine Learning algorithms; predictive modeling tools; regression analysis; clustering analysis; natural language processing; write software in high level scripting languages; Python; Flask; Tornado; Docker; Kubernetes; and Device42.  Travel: N/A  Internal use only: reference code lhrs4262  SAP'S DIVERSITY COMMITMENT To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company. SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: hrdirectamericas@sap.com, APJ: hrdirectapj@sap.com, EMEA: careers@sap.com). Requests for reasonable accommodation will be considered on a case-by-case basis. Successful candidates might be required to undergo a background verification with an external vendor. Additional Locations:",0.0838666458117742
data/html_job_postings/1cfe3aa1933eb661_fccid.html,nesap for data postdoctoral fellow,"San Francisco Bay Area, CA",,"Attention: This is a posting for the NESAP for Data Postdoc position. For NESAP for Simulations go here: https://lbl.taleo.net/careersection/1/jobdetail.ftl?job=87653 and for NESAP for Learning go here: https://lbl.taleo.net/careersection/1/jobdetail.ftl?job=87655 Work with NERSC staff and code teams to transition and optimize simulation, data analytics, or machine learning codes for the Perlmutter system in performance-portable ways. Conduct profiling and scaling studies as well as parallelization, memory bandwidth, and I/O analyses for these codes; identify and capitalize on NERSC’s combined HPC/data ecosystems. Working with domain experts, develop, adapt, and optimize state-of-the-art ML/DL models to solve scientific problems on HPC systems. Disseminate results of research activities through refereed publications, reports, and conference presentations. Ensure that new methods are documented for the broader community, NERSC staff, vendors, and NERSC users. Participation in postdoctoral career and science enrichment activities within the Berkeley Lab Computing Sciences Area is encouraged. Opportunities to travel to sites at other labs, universities, and to vendor facilities. Ph.D. in Computational Science, Data Science, Computer Science, Applied Mathematics, or a science domain area with a computationally-oriented research focus. Research experience and knowledge in computing and/or code development for experimental science or HPC. Demonstrably effective communication and interpersonal skills. Experience in scientific computing, algorithms design, or applied mathematics. Ability to work productively both independently and as part of an interdisciplinary team balancing objectives involving research and code development. Experience with the development and performance optimization of scientific software in the HPC context. Publication record or contributions to open source software projects commensurate with years of experience. Experience with at least one high-level language (HLL) such as Python, Julia, or R and corresponding data analytics package ecosystem. Awareness of issues associated with optimizing and parallelizing HLL-based codes is a plus. Familiarity with libraries or frameworks that enable productive data analytics, improve parallelism in general, or provide GPU acceleration for HLLs. For example: Numba, Pandas, DataFrames.jl, Dask, Spark, or mpi4py. Interest in one or more of the following areas: Container technologies (e.g. Docker), Jupyter notebooks, complex workflows and pipelines, and/or adapting data analytics tools to an HPC environment. A Cover Letter: Include a cover letter introducing yourself, your application, and describing your interest in the program. Please be sure to highlight which NESAP program area interests you most: Simulation, Data, or Learning. Curriculum Vitae/Resume: Either an academic CV or a resume is acceptable. Be sure to highlight technical skills, interests, and synergistic activities relevant to the position and to NERSC. List of Publications: A list of publications is encouraged. Links to software projects, public code repositories, and other non-standard career metrics are welcome! 3 References: Provide contact information for three professional references with whom we may communicate regarding your work and your application. This is a full time 1 year postdoctoral appointment with the possibility of renewal based upon satisfactory job performance, continuing availability of funds and ongoing operational needs. You must have less than 3 years paid postdoctoral experience. Salary for Postdoctoral positions depends on years of experience post-degree. Full-time, M-F, exempt (monthly paid) from overtime pay. This position is represented by a union for collective bargaining purposes. Salary will be predetermined based on postdoctoral step rates. Work will be primarily performed at Lawrence Berkeley National Lab, 1 Cyclotron Road, Berkeley, CA.",0.08307288113826437
